Gene,Annotation
JUN,DefenseRE
KCNJ8,DefenseRE
KPNA6,DefenseRE
LALBA,DefenseRE
LIAS,DefenseRE
LPL,DefenseRE
LPO,DefenseRE
LRSAM1,DefenseRE
LYG1,DefenseRE
LYG2,DefenseRE
LYPD8,DefenseRE
LYZ1,DefenseRE
LYZ2,DefenseRE
LYZL1,DefenseRE
LYZL4,DefenseRE
LYZL6,DefenseRE
MAPK8,DefenseRE
MAPKBP1,DefenseRE
MECOM,DefenseRE
MIR147,DefenseRE
MOV10,DefenseRE
MPO,DefenseRE
MUC5B,DefenseRE
NCBP3,DefenseRE
NCF1,DefenseRE
NCR1,DefenseRE
NFKB1,DefenseRE
NT5C3,DefenseRE
OAS1A,DefenseRE
OAS1E,DefenseRE
OAS1F,DefenseRE
OAS1G,DefenseRE
OAS1H,DefenseRE
PDCD4,DefenseRE
PENK,DefenseRE
PFPL,DefenseRE
PLAA,DefenseRE
PLAC8,DefenseRE
PLD1,DefenseRE
PNLIPRP2,DefenseRE
PPARD,DefenseRE
PPM1B,DefenseRE
PPP1R11,DefenseRE
PRDX2,DefenseRE
PRKCA,DefenseRE
PTGER1,DefenseRE
PTGER2,DefenseRE
PTGER3,DefenseRE
PTGFR,DefenseRE
PTGIR,DefenseRE
PTGS2,DefenseRE
RAB1A,DefenseRE
RAB14,DefenseRE
RAB34,DefenseRE
RAG2,DefenseRE
RNASEL,DefenseRE
RNF26,DefenseRE
RNF216,DefenseRE
RTP4,DefenseRE
SAA1,DefenseRE
SAA3,DefenseRE
SCD1,DefenseRE
SEH1L,DefenseRE
SELENOK,DefenseRE
SERPINA3N,DefenseRE
SERPINE1,DefenseRE
SHC1,DefenseRE
SHPK,DefenseRE
SIRT2,DefenseRE
SLFN8,DefenseRE
SLFN9,DefenseRE
SPACA3,DefenseRE
SPACA5,DefenseRE
STAB1,DefenseRE
STAB2,DefenseRE
SYT11,DefenseRE
TAGAP,DefenseRE
TARBP2,DefenseRE
TBXA2R,DefenseRE
TMF1,DefenseRE
TNFAIP8,DefenseRE
TNFRSF1A,DefenseRE
TRAF3IP1,DefenseRE
TRIM34A,DefenseRE
TRIM38,DefenseRE
TRIM44,DefenseRE
TRPV4,DefenseRE
TSPAN32,DefenseRE
TTC39AOS1,DefenseRE
TUSC2,DefenseRE
UNC13B,DefenseRE
USP18,DefenseRE
VGF,DefenseRE
WFDC6A,DefenseRE
WFDC12,DefenseRE
WFDC15A,DefenseRE
WFDC15B,DefenseRE
WIPI2,DefenseRE
ZFP36,DefenseRE
ZMPSTE24,DefenseRE
ZMYND11,DefenseRE
